duration_sec,start_station_name,end_station_name,bike_id,user_type,member_gender,bike_share_for_all_trip,duration_min,start_date,start_hour,start_weekday,start_month,member_age,dist
1978,The Embarcadero at Vallejo St,Harrison St at 20th St,5162,Subscriber,Male,No,32.96666666666667,2019-02-28,22,Thursday,February,21,4.732311153336677
465,El Embarcadero at Grand Ave,2nd Ave at E 18th St,5684,Subscriber,Female,No,7.75,2019-02-28,22,Thursday,February,32,1.026378974940916
2302,The Embarcadero at Steuart St,Church St at Duboce Ave,2651,Subscriber,Male,No,38.36666666666667,2019-02-28,22,Thursday,February,44,4.1081268989572415
163,Webster St at Grove St,Koshland Park,5297,Subscriber,Male,No,2.716666666666667,2019-02-28,22,Thursday,February,35,0.450025505214061
676,Market St at Dolores St,Garfield Square (25th St at Harrison St),4773,Subscriber,Female,No,11.266666666666667,2019-02-28,22,Thursday,February,35,2.4200650418341145
214,Sanchez St at 15th St,Page St at Scott St,6234,Subscriber,Male,No,3.566666666666667,2019-02-28,22,Thursday,February,39,0.7975895098919911
352,Downtown Berkeley BART,Bancroft Way at Telegraph Ave,2647,Customer,Male,No,5.866666666666666,2019-02-28,22,Thursday,February,21,0.8604989597428149
1032,Raymond Kimbell Playground,Mission Bay Kids Park,5182,Customer,Male,No,17.2,2019-02-28,22,Thursday,February,34,3.868032821949105
260,Victoria Manalo Draves Park,Folsom St at 3rd St,4960,Subscriber,Male,No,4.333333333333333,2019-02-28,22,Thursday,February,25,0.9447944641103059
522,20th St at Bryant St,8th St at Ringold St,4812,Subscriber,Male,No,8.7,2019-02-28,22,Thursday,February,30,1.7038610644232863
404,Folsom St at 9th St,Berry St at 4th St,5829,Subscriber,Male,No,6.733333333333333,2019-02-28,22,Thursday,February,32,1.6416501892971758
625,S Park St at 3rd St,Valencia St at Clinton Park,5902,Customer,Male,No,10.416666666666666,2019-02-28,22,Thursday,February,26,2.7223355102226794
2019,Lakeshore Ave at Trestle Glen Rd,Grand Ave at Santa Clara Ave,2975,Subscriber,Male,No,33.65,2019-02-28,22,Thursday,February,32,0.39301982375787514
704,Channing Way at San Pablo Ave,University Ave at Oxford St,363,Subscriber,Male,No,11.733333333333333,2019-02-28,22,Thursday,February,24,2.341218425920053
293,Mission Dolores Park,Sanchez St at 15th St,5808,Subscriber,Male,No,4.883333333333334,2019-02-28,22,Thursday,February,30,0.670732602151153
451,El Embarcadero at Grand Ave,19th Street BART Station,3512,Subscriber,Male,Yes,7.516666666666667,2019-02-28,22,Thursday,February,41,1.6312601305233432
538,Lombard St at Columbus Ave,Beale St at Harrison St,6521,Subscriber,Male,No,8.966666666666667,2019-02-28,22,Thursday,February,30,2.5114129647405474
248,17th St at Dolores St,Folsom St at 19th St,5050,Subscriber,Male,No,4.133333333333334,2019-02-28,22,Thursday,February,31,1.0614455600633703
1393,Precita Park,Fell St at Stanyan St,4424,Subscriber,Male,No,23.216666666666665,2019-02-28,22,Thursday,February,24,4.617535314248793
511,Central Ave at Fell St,Dolores St at 15th St,5008,Subscriber,Male,No,8.516666666666667,2019-02-28,22,Thursday,February,25,1.7430196302642595
242,4th St at Harrison St,Berry St at 4th St,5157,Subscriber,Female,No,4.033333333333333,2019-02-28,22,Thursday,February,29,0.8079238350027249
506,San Francisco Caltrain Station 2  (Townsend St at 4th St),8th St at Ringold St,5588,Subscriber,Male,No,8.433333333333334,2019-02-28,22,Thursday,February,32,1.2461759030971784
264,14th St at Mission St,Market St at 10th St,5452,Customer,Male,No,4.4,2019-02-28,22,Thursday,February,35,0.9593505625314908
1963,Horton St at 40th St,West Oakland BART Station,4560,Subscriber,Male,No,32.71666666666667,2019-02-28,22,Thursday,February,28,2.7849370236941735
587,Bancroft Way at College Ave,Parker St at Fulton St,3549,Subscriber,Female,Yes,9.783333333333333,2019-02-28,22,Thursday,February,20,1.1958493726742236
206,San Francisco Caltrain Station 2  (Townsend St at 4th St),S Park St at 3rd St,5840,Subscriber,Male,No,3.433333333333333,2019-02-28,22,Thursday,February,24,0.46064630982454
612,Laguna St at Hayes St,19th St at Mission St,5816,Subscriber,Male,No,10.2,2019-02-28,22,Thursday,February,26,1.9070522589718837
515,Market St at 10th St,5th St at Folsom,5234,Subscriber,Other,No,8.583333333333334,2019-02-28,22,Thursday,February,38,1.3177305073825614
385,Washington St at Kearny St,Embarcadero BART Station (Beale St at Market St),6168,Subscriber,Male,Yes,6.416666666666667,2019-02-28,22,Thursday,February,20,0.7602360374749251
488,Golden Gate Ave at Franklin St,Page St at Scott St,6232,Subscriber,Male,No,8.133333333333333,2019-02-28,22,Thursday,February,25,1.523721143768884
